	cdc15_10	cdc15_30	cdc15_50	cdc15_70	cdc15_80	cdc15_90	cdc15_100	cdc15_110	cdc15_120	cdc15_130	cdc15_140	cdc15_150	cdc15_160	cdc15_170	cdc15_180	cdc15_190	cdc15_200	cdc15_210	cdc15_220	cdc15_230	cdc15_240	cdc15_250	cdc15_270	cdc15_290
YAL001C	-0.16	0.09	-0.23	0.03	-0.04	-0.12	-0.28	-0.44	-0.09	0.12	0.06	-0.04	0.31	0.59	0.34	-0.28	-0.09	-0.44	0.31	0.03	0.57	0	0.02	-0.26
YAL002W				-0.58	0.23	-0.23	0.08	-0.62	0.55	-0.32	0.03	-0.56	0.47	-0.15	0.49		0.23	-0.49	0.33	0.18	0.65	-0.29		
YAL003W	-0.37	-0.22	-0.16	0.04	0.53	-0.25	0.08	-0.24	0.37	-0.22	0.16	-0.21	0.03	0.03	0.48		0.22	-0.06	0.08	0.56	0.48	-0.47	-0.45	-0.41
YAL004W				-1.5	-0.03	-1.2	-0.06	-1.78	0.14	-1.13	-0.13	-1.27	-0.27	-0.94	0.14		1.04	0.48	1.94	1.62	1.73	1.22		
YAL005C	-0.43	-1.33	-1.53	-1.53	-0.37	-1.65	-0.71	-1.53	-0.1	-1.15	-0.33	-1.15	-0.19	-0.84	0.52		1.18	0.88	1.8	2.24	2.34	1.43	1.27	1.18
YAL007C				0.14	0.58	0.25	0.03	-1	0	-0.41	0.1	0.14	0.4	0.2	0.24		0.26	-0.39	0.43	-0.26	-0.33	-0.37		
YAL008W	-0.2	0.04	-0.27	-0.4	0.44	-0.73	0.03	-0.69	0.55	-0.53	0.1	-0.2	0.29	-0.15	0.6		0.07	-0.31	0.3	0.5	0.82	-0.08	-0.13	-0.04
YAL009W		-0.02	0	0.07	0.14	0.17	0.23	0.19	-0.1	0	-0.21	0.01	-0.13	-1.38	0.16	0.05	0.29	0.04	0.39	-0.21	0.29	0	0	0.03
YAL010C	-0.24	-0.06	-0.11	-0.25	0.4	-0.52	0.19	-0.31	0.63	-0.31	0.15	-0.27	0.5	-0.14	0.46		0.13	-0.56	0.19	0.71	0.73	-0.4	-0.4	-0.52
YAL011W				-0.29	-0.09	0.02	0.29	-0.52	0.02	-0.15	0.06	-0.17	0.51	-0.2	0.25		-0.14	-0.22	0.23	0.23	0.36	-0.19		
YAL012W	-0.5	-0.94	-0.58	-0.04	0.72	-0.43	-0.07	-0.66	0.5	-0.31	0.29	-0.01	0.76	-0.15	0.54		0.38	-0.2	0.86	0.14	0.81	-0.33	-0.36	-0.43
YAL013W				-0.02	0.06	0.35	0.01	-0.26	-0.07	0.16	-0.26	-0.31	-0.32	-0.14	-0.06		-0.02	0.03	0.34	0.41	-0.11	0.23		
YAL014C	0.02	0.34	0.09	-0.04	-0.04	-0.02	-0.51	-0.08	0	0.46	-0.19	0.04	0.18	-0.3	-0.38	0.07	-0.04	0.13	-0.06	-0.26	-0.1	0.27	0.2	0.22
YAL015C		0.08	0.11	-0.49	0.25	-0.04	0.55	0.17	0.33	-0.09	-0.49	0.16	-1.35	-0.39	0.42	-0.31	0.14	0.08	0.54	0.65	0.25	-0.16	-0.58	0.14
YAL016W	0.16	0.15	0.15	0.29	-0.1	0.15	-0.73	0.19	-0.15	0.29	-0.08	0.16	-0.05	0.12	-0.17	0.11	-0.15	0.03	-0.26	-0.34	-0.34	0.25	0.13	0.2
YAL017W		-0.69	-0.56	0.03	0.71	-0.14	0.1	-0.15	-0.04	-0.15	-0.18	-0.12	0.34	0.07	0.16	-0.11	0.4	-0.36	0.3	0.31	0.41	-0.01	-0.25	-0.08
YAL018C	-0.36	0.61	0.23	-0.57	0.54	-0.86	0.59	-0.17	0.31	-0.17	0.39		0.29		0.81	-1.06		-0.15	1.04	0.54		-0.96	-0.17	-0.86
YAL019W		0.36	0.06	-0.18	0.11	0.09	0.22	0.07	0.07	0.32	-0.07	-0.28	-0.35	-0.2	-0.08	-0.05	0.09	-0.42	0.42	0.52	0.42	-0.42	-0.2	-0.51
YAL020C	-0.38	-0.42	-0.28	-0.15	0.16	-0.12	0.26	0	0.13	-0.2	-0.07	-0.05	0.43	0.07	0.61	-0.2	0.49	-0.43	0.8	-0.47	1.01	-0.36	-0.45	-0.38
YAL021C		0.17	0.22	-0.09	0.19	-0.17	0.16	-0.12	0.25	-0.05	-0.14	-0.42	0.19	-0.03	0.25	-0.2	0.17	-0.48	0.58	0.11	0.48	-0.38	-0.2	-0.52
YAL022C	0.13	-0.24	-0.59	-0.57	-0.09	-0.34	0.49	0.32	1.15	0.2	0.31	-0.28	-0.01	-0.48	-0.4	-0.59	0.54	-0.09	1.03	0.08	0.57	-0.26	-0.36	-0.55
